Feature,Importance
M_12,0.14433756729740646
amax_18,0.1443375672974064
amax_15,0.1443375672974064
M_18,0.1443375672974064
M_9,0.14433756729740638
amax_6,0.14433756729740638
amax_3,0.14433756729740638
amax_12,0.14433756729740638
amax_9,0.14433756729740638
M_6,0.14433756729740635
M_3,0.14433756729740635
M_15,0.14433756729740627
N_18,0.13364748747476565
FC_18,0.132488849694249
N_15,0.1290446643631795
FC_15,0.12902589442742293
FC_12,0.1286152650002629
N_6,0.12725829091899069
N_9,0.1266443096587144
N_12,0.12422471573983075
FC_6,0.12235716335349356
N_3,0.12075256322353223
FC_3,0.12070503773586777
FC_9,0.1193982952055886
